player_name,average_tunnel_distance,TNL,predicted_TNL,Category
"Rodriguez, Grayson",27.6207547464263,50,49.61049707376399,Elite
"Wells, Tyler",27.747555530486853,49,49.38155947253259,Elite
"Weems, Jordan",27.78318973712452,49,49.31722225372236,Elite
"Hurt, Kyle",27.773741703888483,49,49.33428058724481,Elite
"Martinez, Justin",27.963006994086516,49,48.99256391841403,Elite
"Steele, Justin",28.206577884037824,49,48.5527990093215,Elite
"Jax, Griffin",27.797276840167925,49,49.29178812409177,Elite
"Helsley, Ryan",28.385364179026716,48,48.23000206598192,Elite
"Alzolay, Adbert",28.637328226524158,48,47.77508339132236,Elite
"Stratton, Chris",28.360847739189843,48,48.27426626330981,Elite
"Selby, Colin",29.185162502758175,47,46.785973852271994,Elite
"Nelson, Nick",29.07300046837263,47,46.988481331162646,Elite
"Chapman, Aroldis",29.32406377419205,47,46.53518893697621,Elite
"Jay, Tyler",28.910308779238466,47,47.282219617771936,Elite
"Okert, Steven",29.152898288036116,47,46.844226582953496,Elite
"Lee, Dylan",28.900691496253792,47,47.299583530094615,Elite
"Thompson, Keegan",29.892059121161044,46,45.509678777799415,Elite
"Frías, Luis",29.54145315604116,46,46.14269449001801,Elite
"Carrasco, Carlos",29.5385524581438,46,46.14793167229128,Elite
"Blanco, Ronel",29.386708543044946,46,46.42208440677056,Elite
"Mayza, Tim",29.537582938353246,46,46.14968213098789,Elite
"Cronin, Declan",30.33079003428541,45,44.71755431594442,Elite
"Maeda, Kenta",30.264481219052993,45,44.837274246797186,Elite
"Contreras, Luis",29.96657909491667,45,45.37513367887247,Elite
"Cabrera, Edward",30.116265569066293,45,45.1048761833649,Elite
"Kinley, Tyler",30.349994692759214,45,44.682880488995835,Elite
"Nelson, Kyle",30.031611291577164,45,45.25771867062495,Elite
"Hoeing, Bryan",30.126057294073632,45,45.08719731764096,Elite
"Ryan, Joe",30.317975389440285,45,44.74069103448454,Elite
"Ferguson, Tyler",30.223554019033813,45,44.91116791446595,Elite
"Mears, Nick",30.068668616612072,45,45.19081202517793,Elite
"Avila, Nick",30.016674457120292,45,45.28468698218455,Elite
"King, Bryan",30.564181052647598,44,44.296169067511904,Elite
"Lugo, Seth",30.49703602700591,44,44.417398768250095,Elite
"Englert, Mason",30.469805770451654,44,44.4665627356706,Elite
"Floro, Dylan",30.650599431834706,44,44.14014151153122,Elite
"Taillon, Jameson",30.934061183253213,44,43.628354034100354,Elite
"Cole, Gerrit",30.738283068399433,44,43.981829545472806,Elite
"Ramirez, Emmanuel",30.691976730498713,44,44.06543519506989,Elite
"Brasier, Ryan",30.81247018835803,44,43.84788541088861,Elite
"Gray, Jon",30.705649743811378,44,44.04074870048235,Elite
"Henry, Tommy",30.910296862960806,44,43.67126028679388,Elite
"Stroman, Marcus",30.46957406254023,44,44.466981082085574,Elite
"Holmes, Grant",30.536049944419375,44,44.346959514002165,Elite
"Nicolas, Kyle",30.689199287279074,44,44.070449842202954,Elite
"Wheeler, Zack",30.985875932434958,44,43.53480300069026,Elite
"Musgrove, Joe",30.984585203137936,44,43.537133400074524,Elite
"Assad, Javier",31.344791609195376,43,42.886784183688015,Elite
"Montgomery, Jordan",31.55668468914329,43,42.504213257173525,Elite
"Merryweather, Julian",31.228971515807046,43,43.09589625307442,Elite
"Bloss, Jake",31.517612591111366,43,42.57475755597088,Elite
"Erceg, Lucas",31.26328782271814,43,43.0339384895988,Elite
"Ramírez, Erasmo",31.424474051806325,43,42.74291829668452,Elite
"Mercado, Michael",31.55860928742288,43,42.50073841341189,Elite
"Waldrep, Hurston",31.071787228104142,43,43.37969097914477,Elite
"García, Yimi",31.11384025239884,43,43.30376464652875,Elite
"Hernández, Daysbel",31.02760547088662,43,43.45946071866577,Elite
"Singer, Brady",31.551918230462647,43,42.51281905267234,Elite
"Armstrong, Shawn",31.74371204920624,42,42.166537149768644,Elite
"Gasser, Robert",32.02520910755321,42,41.65829690686228,Elite
"Pinto, Ricardo",31.712418663720634,42,42.22303705756151,Elite
"Rogers, Tyler",32.06741136150695,42,41.58210114152606,Elite
"Sandoval, Patrick",31.63378755065009,42,42.365004779148535,Elite
"Miller, Bobby",31.574487931242622,42,42.47206967406747,Elite
"Crochet, Garrett",31.768077290848684,42,42.122545939332745,Elite
"Megill, Tylor",31.570589526575418,42,42.479108206358504,Elite
"Eflin, Zach",31.830534422286508,42,42.00978018668297,Elite
"Kelly, Michael",32.5629641440774,41,40.687385338577634,Elite
